Texto fonte - inglês,Tradução - português,Subprojecto
Your latest changes were saved as a revision.,As últimas alterações foram guardadas como uma revisão.,Admin
Audio Codec:,Codec de áudio:,Admin
Audio Format:,Formato de áudio,Admin
Genre: %s.,Género: %s.,Admin
Track %1$s.,Faixa %1$s.,Admin
Track %1$s of %2$s.,Faixa %1$s de %2$s.,Admin
Released: %d.,Data: %d.,Admin
%1$s by %2$s.,%1$s por %2$s.,Admin
Menu locations updated.,Áreas de menus actualizadas.,Admin
Restore This Revision,Repor esta revisão,Admin
Denied: %s,Negado: %s,Admin
Capabilities,Capacidades,Admin
Menu Settings,Opções do menu,Admin
Menu Structure,Estrutura do menu,Admin
To the top,Para o topo,Admin
Down one,Para baixo,Admin
Up one,Para cima,Admin
Move,Mover,Admin
Restore the backup,Restaurar a cópia de segurança.,Admin
The backup of this post in your browser is different from the version below.,A cópia de segurança deste artigo no seu navegador é diferente da versão abaixo.,Admin
Draft created on %1$s at %2$s,Rascunho criado em %1$s às %2$s ,Admin
You cannot move this item to the Trash. %s is currently editing.,Não pode mover este item para o lixo. %s está a editá-lo.,Admin
Take over,Apropriar,Admin
%s has taken over and is currently editing.,%s apropriou-se deste item e está a editá-lo.,Admin
"or <a href=""%s"">create a new menu</a>.","ou <a href=""%s"">crie um novo menu</a>.",Admin
Select a menu to edit:,Escolha um menu a editar:,Admin
"Edit your menu below, or <a href=""%s"">create a new menu</a>.","Edite o menu abaixo ou <a href=""%s"">crie um novo menu</a>.",Admin
"Thank you for Updating! Please visit the <a href=""%s"">Upgrade Network</a> page to update all your sites.","Obrigado por actualizar! Por favor visite a página de <a href=""%s"">actualização da rede</a> para actualizar todos os seus sites.",Admin
"All right, sparky! You&#8217;ve made it through this part of the installation. WordPress can now communicate with your database. If you are ready, time now to&hellip;","Muito bem! Já passou esta parte da instalação. O WordPress já consegue comunicar com a sua base de dados. Se estiver pronto, está na altura de&hellip;",Admin
Auto add pages,Adicionar páginas automaticamente,Admin
"Give your menu a name, then click Create Menu.","Dê um nome ao seu menu e a seguir clique em ""Criar menu"".",Admin
Edit your default menu by adding or removing items. Drag each item into the order you prefer. Click Create Menu to save your changes.,"Edite o seu menu por omissão adicionado ou removendo items. Arraste os itens individualmente para os colocar na ordem que preferir. Clique em ""Criar menu"" para guardar as alterações.",Admin
Selected menus have been successfully deleted.,Os menus seleccionadas foram eliminados com sucesso.,Admin
sub item,subitem,Admin
"For PHP files, you can use the Documentation dropdown to select from functions recognized in that file. Look Up takes you to a web page with reference material about that particular function.","Para ficheiros em PHP, pode usar o selector de Documentação para escolher funções reconhecidas no ficheiro. O botão Consultar leva-o a uma página com material de referência sobre essa função.",Admin
Look Up,Consultar,Admin
The Documentation menu below the editor lists the PHP functions recognized in the plugin file. Clicking Look Up takes you to a web page about that particular function.,"O menu de Documentação, por baixo do editor, lista as funções de PHP reconhecidas nesse ficheiro. O botão Consultar leva-o a uma página com material de referência sobre essa função.",Admin
%s is currently editing,%s está neste momento a editar,Admin
"You can upload and insert media (images, audio, documents, etc.) by clicking the Add Media button. You can select from the images and files already uploaded to the Media Library, or upload new media to add to your page or post. To create an image gallery, select the images to add and click the &#8220;Create a new gallery&#8221; button.","Pode carregar e inserir multimédia (imagens, audio, documentos, etc.) clicando no botão ""Adicionar multimédia"". Pode escolher de entre as imagens e ficheiros já existentes na sua biblioteca o carregar novos ficheiros para adicionar à sua página ou artigo. Para criar uma galeria de imagens, escolha as imagens que quer adicionar e clique no botão &#8220;Criar galeria&#8221;",Admin
Image rotation is not supported by your web host.,A rotação de imagens não é suportada pelo seu serviço de alojamento.,Admin
"If you are looking to use the link manager, please install the <a href=""%s"">Link Manager</a> plugin.","Se pretende usar o gestor de ligações, por favor instale o plugin <a href=""%s"">Link Manager</a>.",Admin
"Manage <a href=""%1$s"">widgets</a> or <a href=""%2$s"">menus</a>","Gerir <a href=""%1$s"">widgets</a> ou <a href=""%2$s"">menus</a>",Admin
"When changing themes, there is often some variation in the number and setup of widget areas/sidebars and sometimes these conflicts make the transition a bit less smooth. If you changed themes and seem to be missing widgets, scroll down on this screen to the Inactive Widgets area, where all of your widgets and their settings will have been saved.","Quando muda de tema, podem existir diferenças no número e configuração dos widgets e barras laterais, o que faz com que essa transição possa não ser suave. Se mudou de tema e lhe parecer que faltam widgets, dê uma vista de olhos à área de widgets inactivos, no final desta página, onde todos os seus widgets e respectivas configurações foram armazenados.",Admin
"<strong>Parent</strong> &mdash; Categories, unlike tags, can have a hierarchy. You might have a Jazz category, and under that have child categories for Bebop and Big Band. Totally optional. To create a subcategory, just choose another category from the Parent dropdown.","<strong>Superior</strong> &mdash; As categorias, ao contrário das etiquetas, podem ter hierarquias. Pode ter uma categoria Jazz com as subcategorias Bebop e Big Band. É totalmente opcional. Para criar uma subcategoria, escolha outra categoria no selector apropriado.",Admin
Publish Settings,Definições de publicação,Admin
"Several boxes on this screen contain settings for how your content will be published, including:","Várias caixas nesta página definem como o seu conteúdo é publicado, incluindo:",Admin
Inserting Media,A carregar multimédia,Admin
"The title field and the big Post Editing Area are fixed in place, but you can reposition all the other boxes using drag and drop. You can also minimize or expand them by clicking the title bar of each box. Use the Screen Options tab to unhide more boxes (Excerpt, Send Trackbacks, Custom Fields, Discussion, Slug, Author) or to choose a 1- or 2-column layout for this screen.","O campo de título e a área grande de edição de artigos estão fixas no lugar, mas se desejar pode posicionar as outras caixas usando o método de arrastar e largar. Pode também minimizar ou expandir as caixas clicando na barra de título de cada uma delas. Utilize o separador Opções de ecrã para mostrar mais caixas (excertos, enviar trackbacks, campos personalizados, discussões, slug, autor) ou escolher um layout de 1 ou 2 colunas para este ecrã.",Admin
Don&#8217;t forget to click &#8220;Save Changes&#8221; when you&#8217;re done!,Não se esqueça de guardar as alterações para finalizar!,Admin
"To use a background image, simply upload it or choose an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button. You can display a single instance of your image, or tile it to fill the screen. You can have your background fixed in place, so your site content moves on top of it, or you can have it scroll with your site.","Para usar uma imagem de fundo, carregue-a primeiro ou escolha uma imagem já carregada para a sua biblioteca multimédia. Pode mostrar uma única instância da sua imagem ou preencher o ecrã. Pode ter o seu fundo fixo para que fique estático enquanto o seu conteúdo se move ou acompanhando o conteúdo do seu site.",Admin
"You are using the multi-file uploader. Problems? Try the <a href=""%1$s"" target=""%2$s"">browser uploader</a> instead.","Está a usar o carregamento de múltiplos ficheiros. Problemas? Tente o <a href=""%1$s"" target=""%2$s"">carregamento a partir do navegador</a>.",Admin
Edit [media item],Editar,Admin
Default: %s [color],Por omissão: %s,Admin
Uploaded to [column name],Carregado em,Admin
The uploaded file is not a valid image. Please try again.,O ficheiro carregado não é uma imagem válida. Por favor tente novamente.,Admin
Choose a Custom Header,Escolha um cabeçalho personalizado,Admin
Choose a Background Image,Escolha uma imagem de fundo,Admin
"In the Header Text section of this page, you can choose whether to display this text or hide it. You can also choose a color for the text by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","Na secção de texto do cabeçalho, nesta página, pode escolher se quer mostrar ou esconder este texto. Pode também escolher uma cor para o texto escrevendo um valor hexadecimal de HTML válido (por exemplo: &#8220;#ff0000&#8221; para vermelho) ou clicando em &#8220;Escolher cor&#8221; e escolhendo uma cor no selector.",Admin
